UID,Name,2020-01-01_to_2020-01-31,2020-02-01_to_2020-02-29,2020-03-01_to_2020-03-31,2020-04-01_to_2020-04-30,2020-05-01_to_2020-05-31,2020-06-01_to_2020-06-30,2020-07-01_to_2020-07-31,2020-08-01_to_2020-08-31,2020-09-01_to_2020-09-30,2020-10-01_to_2020-10-31,2020-11-01_to_2020-11-30,2020-12-01_to_2020-12-31,2021-01-01_to_2021-01-31,2021-02-01_to_2021-02-28,2021-03-01_to_2021-03-31,2021-04-01_to_2021-04-30,2021-05-01_to_2021-05-31,2021-06-01_to_2021-06-30,2021-07-01_to_2021-07-31,2021-08-01_to_2021-08-31,2021-09-01_to_2021-09-30,2021-10-01_to_2021-10-31,2021-11-01_to_2021-11-30,2021-12-01_to_2021-12-31,2022-01-01_to_2022-01-31,2022-02-01_to_2022-02-28,2022-03-01_to_2022-03-31,2022-04-01_to_2022-04-30,2022-05-01_to_2022-05-31,2022-06-01_to_2022-06-30,2022-07-01_to_2022-07-31,2022-08-01_to_2022-08-31,2022-09-01_to_2022-09-30,2022-10-01_to_2022-10-31,2022-11-01_to_2022-11-30,2022-12-01_to_2022-12-31,2023-01-01_to_2023-01-31,2023-02-01_to_2023-02-28,2023-03-01_to_2023-03-31,2023-04-01_to_2023-04-30,2023-05-01_to_2023-05-31,2023-06-01_to_2023-06-30,2023-07-01_to_2023-07-31,2023-08-01_to_2023-08-31
55c5028802ac64f9c0001faf,Candy Crush Saga,15087066.0,13849306.0,17122697.0,15889258.0,13510796.0,11619485.0,12254422.0,12537022.0,11124194.0,11044628.0,11068732.0,12167906.0,16182588.0,11808212.0,11901520.0,11111770.0,14646270.0,12354897.0,13986837.0,12938553.0,10809396.0,13525828.0,16288662.0,14092787.0,17178469.0,15116913.0,12432567.0,12517022.0,13032673.0,11559294.0,14748569.0,18161465.0,13949795.0,13510609.0,11857652.0,12707064.0,20803271.0,16234215.0,14525583.0,14327989.0,14296085.0,12904930.0,14438116.0,11060634.0
582219400211a6c9240005fc,Gardenscapes,20372968.0,15465266.0,20222614.0,36736538.0,25614745.0,17424611.0,12228972.0,14094038.0,11331268.0,8213115.0,11029339.0,12331021.0,13220093.0,9595150.0,9147893.0,6346873.0,5187094.0,4794271.0,3899548.0,3148206.0,2148431.0,2820114.0,2140860.0,2003453.0,2598131.0,3504517.0,3923581.0,3167515.0,4150671.0,3314921.0,2884721.0,3586695.0,3344109.0,4618654.0,5211804.0,8450397.0,11683732.0,9278789.0,10003596.0,11651520.0,10611150.0,6720394.0,6295876.0,5803574.0
597a55930211a69d0f000000,Homescapes,17588138.0,10269819.0,9936741.0,17420109.0,14812870.0,12961614.0,15239338.0,14751577.0,12229446.0,10404665.0,12363796.0,12064839.0,14459673.0,12335958.0,12756763.0,9150701.0,7014082.0,5713760.0,6156460.0,6025265.0,6335902.0,4743429.0,3968549.0,4082829.0,7669671.0,6241765.0,4759391.0,4505120.0,3639243.0,3386408.0,3956816.0,4735423.0,4012446.0,4636444.0,4039926.0,5691099.0,7124720.0,5652892.0,4257549.0,3224077.0,2754792.0,2254911.0,2105143.0,2843168.0
55c5342c02ac64f9c0002f34,ドラゴンボールZ ドッカンバトル,419613.0,523384.0,366448.0,280283.0,301305.0,357814.0,859198.0,430319.0,435092.0,345975.0,336539.0,544507.0,493921.0,467264.0,368275.0,297251.0,319284.0,327676.0,1632421.0,1027902.0,744353.0,557267.0,505440.0,721592.0,812026.0,728259.0,604761.0,548258.0,684066.0,1000427.0,1429383.0,1158609.0,1005746.0,1262246.0,704507.0,964634.0,1017290.0,924722.0,1289627.0,745226.0,932473.0,492471.0,670690.0,619188.0
55d20e3a02ac64ee7300002f,パズル＆ドラゴンズ,179605.0,175453.0,188497.0,231847.0,222134.0,124856.0,174081.0,120229.0,127774.0,352693.0,467116.0,169074.0,145256.0,197049.0,217225.0,113230.0,140355.0,90136.0,155298.0,164373.0,103093.0,143877.0,107470.0,114071.0,132214.0,139074.0,154868.0,121894.0,107069.0,105161.0,110204.0,119352.0,224857.0,92618.0,73466.0,123586.0,103023.0,96780.0,97040.0,78908.0,77085.0,75207.0,88010.0,85622.0
587b3b7d0211a6285800103d,Toon Blast,2019491.0,1745726.0,2131084.0,2644881.0,2035687.0,1271577.0,1242701.0,1203257.0,996081.0,1286402.0,1322909.0,1580449.0,1924029.0,1104631.0,1032618.0,1190185.0,1199958.0,1047139.0,1053959.0,1300073.0,1186849.0,1291338.0,1389603.0,1168672.0,1478784.0,1073969.0,1349799.0,1204946.0,1277365.0,1274246.0,1347048.0,1075287.0,842980.0,964339.0,890996.0,1037270.0,1441972.0,1072535.0,1141345.0,1055314.0,604072.0,611673.0,528303.0,551942.0
55c5213e02ac64f9c0002957,Candy Crush Soda Saga,5253637.0,4307831.0,5316146.0,5872769.0,4081823.0,4031613.0,4071154.0,3647704.0,3464797.0,3050448.0,2920284.0,3101444.0,3520708.0,3181658.0,3150586.0,2920084.0,3653104.0,4074640.0,4416556.0,3971101.0,3171715.0,3168531.0,2815793.0,3324891.0,4147315.0,3071785.0,3116934.0,2716246.0,3441476.0,2968967.0,3175708.0,4024746.0,3170510.0,3454718.0,2959977.0,2788968.0,3857487.0,2838128.0,3276527.0,3390389.0,3091571.0,3033705.0,3255826.0,3624652.0
576fc77df7b5cc0861000419,Empires & Puzzles: Match-3 RPG,1742852.0,1399460.0,1434268.0,1537443.0,1486359.0,1301589.0,1370979.0,1077291.0,964592.0,912768.0,797173.0,757776.0,874488.0,874511.0,803395.0,798563.0,593593.0,533047.0,526302.0,524252.0,424166.0,449412.0,435307.0,426838.0,615822.0,497096.0,439528.0,516962.0,501508.0,461078.0,509934.0,519902.0,495292.0,486310.0,508252.0,426925.0,527522.0,580977.0,544382.0,585965.0,488417.0,421525.0,415122.0,368026.0
55d2acec02ac64a768000014,LINE：ディズニー ツムツム,410947.0,335280.0,420909.0,340492.0,322248.0,249085.0,240475.0,236848.0,205118.0,229889.0,213446.0,229707.0,372022.0,272524.0,414971.0,325911.0,323064.0,227481.0,219225.0,317396.0,314189.0,225576.0,177526.0,280916.0,542341.0,339377.0,453077.0,345189.0,228706.0,167637.0,194313.0,199417.0,158203.0,171673.0,145592.0,191520.0,281842.0,216777.0,281992.0,231189.0,221246.0,203453.0,242105.0,253680.0
55d93ce402ac645ad20bc510,Fishdom,8819117.0,10364102.0,13949690.0,21945905.0,22041180.0,10541219.0,8872312.0,12527842.0,8097887.0,5987997.0,7383084.0,7403354.0,7433429.0,7252872.0,8882920.0,7123323.0,6102092.0,4926094.0,5060709.0,4237106.0,4742826.0,4809642.0,4292342.0,4294268.0,9066773.0,12087192.0,13433116.0,8477316.0,9951203.0,6216594.0,7604305.0,8219855.0,6145374.0,5972247.0,4880493.0,6861319.0,9757426.0,8300308.0,7106446.0,6603229.0,6004699.0,6921456.0,8208689.0,6469136.0
