UID,Name,2020-01-01_to_2020-01-31,2020-02-01_to_2020-02-29,2020-03-01_to_2020-03-31,2020-04-01_to_2020-04-30,2020-05-01_to_2020-05-31,2020-06-01_to_2020-06-30,2020-07-01_to_2020-07-31,2020-08-01_to_2020-08-31,2020-09-01_to_2020-09-30,2020-10-01_to_2020-10-31,2020-11-01_to_2020-11-30,2020-12-01_to_2020-12-31,2021-01-01_to_2021-01-31,2021-02-01_to_2021-02-28,2021-03-01_to_2021-03-31,2021-04-01_to_2021-04-30,2021-05-01_to_2021-05-31,2021-06-01_to_2021-06-30,2021-07-01_to_2021-07-31,2021-08-01_to_2021-08-31,2021-09-01_to_2021-09-30,2021-10-01_to_2021-10-31,2021-11-01_to_2021-11-30,2021-12-01_to_2021-12-31,2022-01-01_to_2022-01-31,2022-02-01_to_2022-02-28,2022-03-01_to_2022-03-31,2022-04-01_to_2022-04-30,2022-05-01_to_2022-05-31,2022-06-01_to_2022-06-30,2022-07-01_to_2022-07-31,2022-08-01_to_2022-08-31,2022-09-01_to_2022-09-30,2022-10-01_to_2022-10-31,2022-11-01_to_2022-11-30,2022-12-01_to_2022-12-31,2023-01-01_to_2023-01-31,2023-02-01_to_2023-02-28,2023-03-01_to_2023-03-31,2023-04-01_to_2023-04-30,2023-05-01_to_2023-05-31,2023-06-01_to_2023-06-30,2023-07-01_to_2023-07-31,2023-08-01_to_2023-08-31
55c5028802ac64f9c0001faf,Candy Crush Saga,64857040.62,52579739.53,54543601.93,59594836.24,59370577.27,52071449.81,49418768.62,51513155.82,53845480.95,53341185.76,51412585.19,55349664.73,64623472.44,53317189.77,56863022.37,57222361.8,60769927.4,64279771.22,65928601.99,64753912.54,71934741.41,93018533.08,82242059.51,77947371.47,70870561.06,62794316.91,72104420.91,78416806.47,79886471.58,75307520.89,80444814.47,77328420.7,79593280.62,87005427.46,81798391.94,89755849.77,91184900.52,79573289.63,92408003.6,89581803.99,85311219.53,83092865.73,73156260.61,72099098.29
582219400211a6c9240005fc,Gardenscapes,52639885.2,50753695.17,55692544.81,60840449.89,64548214.33,60385766.72,47986053.01,58547728.95,51717257.01,51525086.79,48431861.51,54897237.11,50457332.36,43114991.96,50224765.02,45778406.0,44312745.24,41587457.31,42615056.92,39080718.37,39777488.56,46359846.53,43253534.74,43187908.16,42439794.23,38111755.19,41649040.77,34484742.04,37533137.37,29509312.44,33852231.85,34233190.25,32910983.83,37101420.23,33649814.07,36416281.5,51720290.0,45455947.72,55631669.06,56813021.82,58152755.76,53126194.55,54501398.96,53782800.98
597a55930211a69d0f000000,Homescapes,43322620.83,36056103.18,37926833.29,44247211.08,47801807.68,40214797.75,50070098.32,53438337.57,49195067.38,54048128.61,52308879.67,58317093.04,63506969.76,52130647.62,51207181.64,48020297.38,49243334.94,48785165.87,53848610.36,53542298.02,51406405.51,48601280.34,41576166.63,45013525.57,47301140.36,43927955.73,42935906.5,39431976.5,41955683.44,35448899.31,35796516.04,39593488.58,35700448.92,38420112.71,37998878.59,41491702.32,42011336.24,37761079.68,41154738.85,41818868.32,39326648.87,37310532.72,36900811.99,36474262.48
55c5342c02ac64f9c0002f34,ドラゴンボールZ ドッカンバトル,31614143.41,56271768.08,28795274.97,24818067.46,31902169.05,26256034.58,64414685.72,38852514.23,51211488.56,20585219.49,24060323.52,38993118.55,38644560.2,50810004.38,25972940.49,24260326.09,17638792.21,11305162.2,49746439.37,29878239.31,39795143.3,15335061.34,20969218.74,29577967.85,33220102.65,48464683.85,23866781.4,22218322.8,19274216.87,12126645.28,47834013.43,22426799.5,40810268.53,16708616.88,17193706.01,33996003.6,34858171.16,44201592.73,22098257.12,13218512.45,14733909.01,10016389.7,33885752.01,24701101.6
55d20e3a02ac64ee7300002f,パズル＆ドラゴンズ,30638432.99,23507787.19,19883172.79,29448962.89,31056198.33,25107560.77,30116551.11,29069423.21,23030554.78,36819016.91,58684739.41,42539955.52,49222218.77,37675384.83,37764622.73,30618339.74,23391521.02,31247696.92,34674768.46,37021841.34,38294815.7,42217376.59,31592795.46,30372829.92,28052451.38,29906936.63,30788782.52,20112388.39,23372683.39,21018761.39,22687849.45,16420191.88,27145579.16,21753900.15,22250501.09,28496055.98,23720231.69,22985082.65,20795660.67,22750606.81,21441881.64,20155527.76,18824598.8,10895908.54
587b3b7d0211a6285800103d,Toon Blast,24690773.61,22941505.27,24986505.81,27135369.67,29661845.19,27225263.44,26305873.42,26662561.53,24433023.57,24717634.44,23401871.22,24801269.82,26071894.62,22525039.75,24148559.48,25566589.27,24753687.58,23052257.33,26745185.83,25550357.98,24064179.42,21999165.58,19545107.04,21359431.86,24245436.65,21871646.7,22701645.44,20280023.61,20431899.69,18280466.09,19319152.34,18844792.36,16646619.02,15477358.05,13711524.49,14752459.2,15968805.47,13517721.45,15311445.29,14437815.47,14425296.73,14220255.77,14294940.88,15127476.77
55c5213e02ac64f9c0002957,Candy Crush Soda Saga,20983396.56,18876891.66,19936573.1,22304147.78,23707605.31,21775072.43,21856051.14,20980756.52,20351492.15,21085756.62,20341086.53,22153266.13,24992097.35,21145138.65,23164125.76,22831542.4,23685614.25,23252749.08,24527910.7,23680687.58,23325032.69,25617632.4,23024870.2,24384276.33,22900962.9,19949780.64,23050155.59,24357846.18,23200467.75,21208199.9,21241225.99,21428304.21,20590693.93,23216143.92,21582946.17,22630326.03,23441137.81,21051643.26,23369513.75,22242405.47,20511838.38,19686729.93,20050883.0,19673603.34
576fc77df7b5cc0861000419,Empires & Puzzles: Match-3 RPG,19786663.95,23645930.92,26550188.81,24694224.39,28857421.87,22793662.34,22902414.93,19163382.36,19912866.99,20382216.48,23484323.65,24621329.59,21068857.45,20002041.54,22603618.72,22183699.79,20883839.14,23071015.85,21719363.82,19312483.54,21445594.39,24528769.37,21489117.19,23218186.14,18870870.54,18656028.1,20001792.31,19635976.81,20209012.27,21687125.47,18147979.47,19743990.11,20330708.35,18836746.91,20496804.12,19514063.43,16324127.83,15805900.82,18041655.2,16301990.4,16179660.72,17394665.31,15856406.7,14933880.08
55d2acec02ac64a768000014,LINE：ディズニー ツムツム,18578887.93,15054263.19,14398970.47,14609302.31,16060324.61,13388272.39,13028040.06,13578746.12,12337272.29,11405200.24,10668126.36,11428802.02,17291042.73,12475644.4,15117392.53,10963338.95,13336784.59,11297231.26,7953854.83,13944361.1,16913033.32,9715632.12,11051166.1,12576057.0,16398077.38,14880927.63,11206320.39,12016314.38,13058880.96,9410882.62,8219002.63,10997491.61,12150438.57,6869532.03,4421068.74,7191098.96,12402478.39,10231834.35,9760162.65,8444664.44,7979088.17,7581551.73,5316158.25,9288739.18
55d93ce402ac645ad20bc510,Fishdom,14686911.61,18026981.02,21054108.97,26261301.84,28170376.31,24153621.96,26075863.31,28789116.23,24332260.84,25935940.42,23500871.97,24140173.34,27025648.41,23990445.36,26854398.99,25730435.55,27587049.05,23843096.06,26298997.99,28191621.94,30976164.61,32269403.34,26444695.01,27019421.26,29593154.68,27372675.12,29445464.82,29304564.37,28671887.53,26713549.42,27774330.44,29051891.48,29071314.87,27981056.59,27788023.02,27961623.9,29218004.97,25454834.03,29142324.48,28903949.14,30110956.14,28373346.71,28257235.68,28390027.54
